ICD,train_r2,test_r2,rmse,numDataPoints,code_category,code_label
A419,0.8406122909330676,0.644872156011108,0.205230023124811,66982,Infectious and Parasitic Diseases,"Sepsis, unspecified organism"
J189,0.7773626866346054,0.6016416229333309,0.2228020197710853,65312,Diseases of the Respiratory System,"Pneumonia, unspecified organism"
I5023,0.7426867552525924,0.5772897319877875,0.2578512203854107,46599,Diseases of the Circulatory System,Acute on chronic systolic (congestive) heart failure
I2510,0.8297003655697993,0.6749551695250946,0.2257908677591189,45743,Diseases of the Circulatory System,Atherosclerotic heart disease of native coronary artery without angina pectoris
O80,0.7160397358874193,0.5344368852830559,0.202684201462752,44662,"Pregnancy, Childbirth, and the Puerperium",Encounter for full-term uncomplicated delivery
I5033,0.7924766504334988,0.6275861674145667,0.2518312738306439,42329,Diseases of the Circulatory System,Acute on chronic diastolic (congestive) heart failure
I5043,0.7987147712869803,0.6382631565666459,0.2585613786857544,34210,Diseases of the Circulatory System,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure
I5021,0.7966829926663715,0.6134650716568313,0.2632310745975772,30385,Diseases of the Circulatory System,Acute systolic (congestive) heart failure
I5031,0.8236756196324149,0.6385501621208165,0.2584557658602137,30088,Diseases of the Circulatory System,Acute diastolic (congestive) heart failure
I5030,0.694553215883256,0.5129008749874484,0.2944672558850528,29620,Diseases of the Circulatory System,Unspecified diastolic (congestive) heart failure
I509,0.8450491065016128,0.6377070058076089,0.2479243792768652,28974,Diseases of the Circulatory System,"Heart failure, unspecified"
I5022,0.8344700183914933,0.6116028053185061,0.2511075708302506,28361,Diseases of the Circulatory System,Chronic systolic (congestive) heart failure
E860,0.7614695397439987,0.5825983803297288,0.2215095719904512,24355,"Endocrine, Nutritional, and Metabolic Diseases",Dehydration
R079,0.8173167425514434,0.5127678120967221,0.2276825573344183,14863,"Symptoms, Signs, and Abnormal Clinical and Laboratory Findings","Chest pain, unspecified"
